klient_id,imie,nazwisko,Płeć,telefon,email,kontakt_rodzinny,kontakt_rodzinny_telefon,adres_id
1,Anna,Nowak,K,+48 602 345 678,kdooher0@icq.com,Wujek,+48 835 678 901,115
2,Michał,Kowalski,M,+48 612 345 678,lgavrielli1@xing.com,Matka,+48 857 890 123,100
3,Karolina,Wiśniewska,K,+48 689 012 345,jstuckey2@netlog.com,Ojciec,+48 702 345 678,178
4,Piotr,Wójcik,M,+48 731 234 567,biban3@mysql.com,Matka,+48 790 123 456,151
5,Agnieszka,Kowalczyk,K,+48 755 678 901,rduchart4@techcrunch.com,Wujek,+48 877 890 123,143
6,Krzysztof,Kamiński,M,+48 734 567 890,apetrovykh5@networkadvertising.org,Matka,+48 781 234 567,176
7,Marta,Lewandowska,K,+48 672 345 678,ryacobsohn6@wp.com,Ojciec,+48 877 890 123,118
8,Tomasz,Zieliński,M,+48 658 901 234,njorat7@icio.us,Siostra,+48 751 234 567,174
9,Ewa,Szymańska,K,+48 703 456 789,ssucre8@sphinn.com,Ojciec,+48 860 123 456,139
10,Paweł,Woźniak,M,+48 756 789 012,lnesbeth9@amazon.de,Brat,+48 705 678 901,27
11,Joanna,Kwiatkowska,K,+48 664 567 890,dklempkea@theguardian.com,Brat,+48 705 678 901,106
12,Andrzej,Zielinski,M,+48 689 012 345,gmcneilleyb@shareasale.com,Matka,+48 718 901 234,103
13,Zuzanna,Tyl,K,+48 724 567 890,gdenziloec@devhub.com,Siostra,+48 788 901 234,199
14,Adam,Dąbrowski,M,+48 716 789 012,klaffordd@ucoz.com,Ojciec,+48 710 123 456,34
15,Katarzyna,Piotrowska,K,+48 727 890 123,emanone@mozilla.org,Ojciec,+48 861 234 567,144
16,Jakub,Grabowski,M,+48 681 234 567,cjemmisonf@cbsnews.com,Matka,+48 823 456 789,55
17,Alicja,Nowakowska,K,+48 730 123 456,obauldg@accuweather.com,Ojciec,+48 804 567 890,181
18,Paweł,Zając,M,+48 705 678 901,kmacgeffenh@huffingtonpost.com,Siostra,+48 889 012 345,171
19,Magdalena,Pawlak,K,+48 682 345 678,alenoxi@ucla.edu,Dziadek,+48 741 234 567,111
20,Tomasz,Adamczyk,M,+48 709 012 345,cdavernj@prweb.com,Matka,+48 832 345 678,22
21,Monika,Kucharska,K,+48 783 456 789,bbettingtonk@nifty.com,Matka,+48 791 234 567,142
22,Piotr,Majewski,M,+48 719 012 345,cmountfordl@reverbnation.com,Siostra,+48 704 567 890,97
23,Julia,Kaczmarek,K,+48 738 901 234,gtwistm@slate.com,Siostra,+48 877 890 123,29
24,Michał,Krawczyk,M,+48 750 123 456,escheun@posterous.com,Matka,+48 855 678 901,180
25,Aleksandra,Sienkiewicz,K,+48 747 890 123,abuffhamo@a8.net,Dziadek,+48 861 234 567,61
26,Piotr,Jankowski,M,+48 745 678 901,bomohunp@edublogs.org,Matka,+48 701 234 567,75
27,Agnieszka,Król,K,+48 725 678 901,adonativoq@360.cn,Babcia,+48 819 012 345,203
28,Damian,Chmiel,M,+48 701 234 567,gmattingsonr@engadget.com,Wujek,+48 702 345 678,157
29,Barbara,Lis,K,+48 713 456 789,vbosleys@illinois.edu,Ojciec,+48 765 678 901,63
30,Grzegorz,Wojciechowski,M,+48 748 901 234,cvinnickt@pinterest.com,Ojciec,+48 834 567 890,30
31,Magdalena,Pawłowska,K,+48 758 901 234,vfishleighu@engadget.com,Siostra,+48 871 234 567,9
32,Mariusz,Stolarz,M,+48 681 234 567,mbenningtonv@webnode.com,Babcia,+48 827 890 123,140
33,Łukasz,Dudek,M,+48 762 345 678,vcovendonw@illinois.edu,Ojciec,+48 834 567 890,148
34,Katarzyna,Michalska,K,+48 649 012 345,llangranx@github.io,Matka,+48 862 345 678,35
35,Kamil,Król,M,+48 792 345 678,lfiddimany@blinklist.com,Ojciec,+48 832 345 678,177
36,Agata,Górski,K,+48 762 345 678,kgrimesz@japanpost.jp,Dziadek,+48 808 901 234,153
37,Łukasz,Wróbel,M,+48 725 678 901,pcasaroli10@google.de,Brat,+48 872 345 678,24
38,Dorota,Czerwińska,K,+48 777 890 123,jcutteridge11@illinois.edu,Dziadek,+48 836 789 012,190
39,Damian,Ślusarczyk,M,+48 790 123 456,hmunnion12@dailymail.co.uk,Matka,+48 738 901 234,197
40,Piotr,Kasprzak,M,+48 785 678 901,azannelli13@prnewswire.com,Ojciec,+48 855 678 901,135
41,Marcin,Kaczmarek,M,+48 677 890 123,kwyd14@i2i.jp,Ojciec,+48 861 234 567,182
42,Adam,Kwiatkowski,M,+48 705 678 901,emerali15@youtube.com,Ojciec,+48 858 901 234,128
43,Dorota,Bąk,K,+48 742 345 678,zcolbridge16@wsj.com,Ojciec,+48 845 678 901,64
44,Jakub,Jasiński,M,+48 792 345 678,sbubeer17@ucoz.com,Brat,+48 762 345 678,120
45,Paweł,Sikora,M,+48 757 890 123,mchecklin18@artisteer.com,Ojciec,+48 880 123 456,168
46,Wojciech,Sierżant,M,+48 723 456 789,phaking19@umn.edu,Babcia,+48 739 012 345,200
47,Łukasz,Wolski,M,+48 717 890 123,twhetland1a@rediff.com,Matka,+48 878 901 234,33
48,Marta,Jabłońska,K,+48 663 456 789,rhustler1b@cdbaby.com,Siostra,+48 869 012 345,112
49,Mariusz,Piątek,M,+48 747 890 123,tphilipeaux1c@examiner.com,Matka,+48 802 345 678,93
50,Patrycja,Zalewska,K,+48 702 345 678,atander1d@creativecommons.org,Babcia,+48 800 123 456,47
51,Joanna,Mikołajczyk,K,+48 635 678 901,dlesslie1e@sourceforge.net,Siostra,+48 861 234 567,98
52,Daniel,Nowacki,M,+48 790 123 456,bivanitsa1f@tinypic.com,Ojciec,+48 860 123 456,40
53,Robert,Stępień,M,+48 770 123 456,gstiggers1g@dion.ne.jp,Matka,+48 700 123 456,39
54,Karol,Mazur,M,+48 731 234 567,ckitlee1h@discuz.net,Brat,+48 706 789 012,183
55,Klaudia,Lisowska,K,+48 773 456 789,sfrend1i@weebly.com,Siostra,+48 711 234 567,28
56,Beata,Rybak,K,+48 733 456 789,hsmyth1j@storify.com,Matka,+48 840 123 456,131
57,Michał,Malinowski,M,+48 779 012 345,cgerardeaux1k@imageshack.us,Matka,+48 890 123 456,189
58,Barbara,Lisowska,K,+48 712 345 678,slangham1l@comcast.net,Siostra,+48 736 789 012,82
59,Grzegorz,Strzelecki,M,+48 765 678 901,pbulteel1m@tinypic.com,Matka,+48 750 123 456,58
60,Michał,Wójcik,M,+48 764 567 890,ccottill1n@va.gov,Brat,+48 849 012 345,175
61,Krzysztof,Krawczyk,M,+48 742 345 678,aleggan1o@cnn.com,Siostra,+48 817 890 123,127
62,Patryk,Gajewski,M,+48 724 567 890,hofarrell1p@so-net.ne.jp,Brat,+48 825 678 901,62
63,Jakub,Borkowski,M,+48 686 789 012,llukasen1q@uiuc.edu,Ojciec,+48 824 567 890,207
64,Marcin,Rutkowski,M,+48 630 123 456,mvaneschi1r@marriott.com,Ojciec,+48 706 789 012,83
65,Mateusz,Sobczak,M,+48 788 901 234,eprine1s@example.com,Wujek,+48 812 345 678,121
66,Paulina,Zawisza,K,+48 726 789 012,pkroch1t@bandcamp.com,Ciocia,+48 827 890 123,18
67,Monika,Filipowicz,K,+48 726 789 012,amcvaugh1u@yale.edu,Matka,+48 711 234 567,136
68,Tomasz,Majchrzak,M,+48 735 678 901,mswiffen1v@squarespace.com,Babcia,+48 809 012 345,12
69,Andrzej,Laskowski,M,+48 718 901 234,jhughlock1w@eventbrite.com,Ojciec,+48 877 890 123,79
70,Aleksandra,Chmiel,K,+48 775 678 901,cbenito1x@microsoft.com,Babcia,+48 700 123 456,19
71,Adam,Kalinowski,M,+48 669 012 345,salphonso1y@flavors.me,Ciocia,+48 745 678 901,76
72,Paweł,Kuczynski,M,+48 765 678 901,dmacskeaghan1z@networkadvertising.org,Brat,+48 836 789 012,53
73,Michał,Sobolewski,M,+48 788 901 234,cemmanuele20@ezinearticles.com,Ojciec,+48 861 234 567,193
74,Monika,Piątek,K,+48 796 789 012,greskelly21@exblog.jp,Matka,+48 877 890 123,173
75,Agata,Wesołowska,K,+48 781 234 567,kargile22@walmart.com,Siostra,+48 770 123 456,134
76,Paweł,Gryz,M,+48 635 678 901,cgreber23@answers.com,Matka,+48 809 012 345,165
77,Piotr,Kosmatka,M,+48 712 345 678,cduffill24@canalblog.com,Brat,+48 850 123 456,94
78,Grzegorz,Skiba,M,+48 792 345 678,jbariball25@comcast.net,Brat,+48 804 567 890,184
79,Michał,Tomaszewski,M,+48 711 234 567,slittlechild26@china.com.cn,Babcia,+48 806 789 012,70
80,Aleksandra,Piechota,K,+48 783 456 789,eottiwill27@so-net.ne.jp,Wujek,+48 854 567 890,196
81,Jerzy,Marzec,M,+48 772 345 678,mtaillard28@livejournal.com,Siostra,+48 803 456 789,65
82,Andrzej,Maciejewski,M,+48 749 012 345,rpestell29@cocolog-nifty.com,Matka,+48 739 012 345,179
83,Dorota,Król,K,+48 652 345 678,bbillitteri2a@acquirethisname.com,Brat,+48 838 901 234,198
84,Piotr,Kubicki,M,+48 765 678 901,kremmer2b@wikipedia.org,Brat,+48 761 234 567,160
85,Magdalena,Nawrocka,K,+48 700 123 456,slawson2c@illinois.edu,Ojciec,+48 835 678 901,146
86,Ewa,Chojnacka,K,+48 757 890 123,cderycot2d@indiegogo.com,Brat,+48 836 789 012,71
87,Adam,Zientek,M,+48 675 678 901,dtuckwood2e@jugem.jp,Siostra,+48 739 012 345,87
88,Łukasz,Jaworski,M,+48 726 789 012,amacelroy2f@weebly.com,Siostra,+48 890 123 456,206
89,Dariusz,Zieliński,M,+48 760 123 456,rdentith2g@diigo.com,Siostra,+48 761 234 567,194
90,Wojciech,Kowalski,M,+48 679 012 345,scraister2h@deviantart.com,Ojciec,+48 702 345 678,205
91,Aleksandra,Piotrowska,K,+48 759 012 345,ocasterot2i@nymag.com,Matka,+48 851 234 567,50
92,Michał,Krawczyk,M,+48 755 678 901,gvanarsdall2j@tamu.edu,Brat,+48 869 012 345,11
93,Natalia,Piekarska,K,+48 748 901 234,dtidder2k@reverbnation.com,Babcia,+48 809 012 345,129
94,Krzysztof,Klimczak,M,+48 709 012 345,fjaffray2l@dropbox.com,Matka,+48 860 123 456,91
95,Rafał,Grzyb,M,+48 780 123 456,ecuddehay2m@senate.gov,Wujek,+48 754 567 890,81
96,Małgorzata,Przybylska,K,+48 755 678 901,csquibbs2n@t-online.de,Ojciec,+48 819 012 345,169
97,Łukasz,Tkacz,M,+48 688 901 234,jkapelhof2o@mac.com,Ojciec,+48 759 012 345,77
98,Piotr,Kalinowski,M,+48 784 567 890,dhull2p@about.com,Matka,+48 825 678 901,195
99,Agnieszka,Socha,K,+48 747 890 123,grobillard2q@google.com,Matka,+48 789 012 345,201
100,Karol,Jagoda,M,+48 775 678 901,bdumblton2r@g.co,Ojciec,+48 853 456 789,43
101,Adam,Dziedzic,M,+48 649 012 345,mbroker2s@oaic.gov.au,Matka,+48 804 567 890,114
102,Aleksandra,Adamczak,K,+48 720 123 456,hheffernan2t@noaa.gov,Babcia,+48 832 345 678,14
103,Dorota,Kaczmarczyk,K,+48 793 456 789,mdirkin2u@telegraph.co.uk,Ojciec,+48 840 123 456,90
104,Grzegorz,Książek,M,+48 669 012 345,lkennford2v@un.org,Siostra,+48 705 678 901,125
105,Łukasz,Polak,M,+48 756 789 012,drudiger2w@microsoft.com,Brat,+48 745 678 901,150
106,Jakub,Nowakowski,M,+48 777 890 123,iesgate2x@jalbum.net,Ojciec,+48 778 901 234,25
107,Paweł,Wójcik,M,+48 700 123 456,wannakin2y@about.me,Ojciec,+48 803 456 789,188
108,Michał,Mazur,M,+48 681 234 567,smearns2z@theglobeandmail.com,Dziadek,+48 750 123 456,38
109,Paweł,Konieczny,M,+48 741 234 567,swordington30@washington.edu,Ojciec,+48 870 123 456,113
110,Grzegorz,Szymański,M,+48 740 123 456,lbaraja31@wsj.com,Babcia,+48 861 234 567,163
111,Monika,Kuryłek,K,+48 793 456 789,tcornels32@hao123.com,Matka,+48 877 890 123,145
112,Patryk,Wiśniewski,M,+48 654 567 890,sspellman33@yahoo.com,Ojciec,+48 832 345 678,105
113,Dorota,Piotrowska,K,+48 728 901 234,hkiddle34@w3.org,Ojciec,+48 787 890 123,56
114,Anna,Ślusarczyk,K,+48 681 234 567,vpont35@hibu.com,Ojciec,+48 802 345 678,186
115,Michał,Polak,M,+48 682 345 678,aganing36@digg.com,Matka,+48 738 901 234,80
116,Michał,Żuraw,M,+48 745 678 901,gspeedin37@bloglovin.com,Brat,+48 736 789 012,66
